,Awaketime_today
8:00am,173
7:30am,157
8:30am,146
7:00am,111
9:00am,109
9:30am,89
6:30am,49
10:00am,38
6:00am,31
10:30am,24
11:30am,13
11:00am,10
5:30am,6
5:00am,4
